Major,Early Career Pay,Mid-Career Pay,Spread
Forestry Management,56100.0,89500.0,33400.0
Homeland Security,57100.0,90500.0,33400.0
Accounting & Business,61000.0,94300.0,33300.0
Child Psychology,50500.0,83500.0,33000.0
Multidisciplinary Studies,51500.0,84500.0,33000.0
Web Design & Development,63000.0,96000.0,33000.0
Ethnic Studies,55900.0,88800.0,32900.0
Audio Engineering,55500.0,88400.0,32900.0
Informatics,81600.0,114500.0,32900.0
Exercise Physiology,50600.0,83500.0,32900.0
Psychology,52800.0,85700.0,32900.0
Criminology,52200.0,85000.0,32800.0
Health Care Management,53000.0,85800.0,32800.0
Visual Communications,52800.0,85600.0,32800.0
Industrial Engineering Technology,77600.0,110100.0,32500.0
Fashion Marketing & Management,56500.0,89000.0,32500.0
Human Relations,53500.0,86000.0,32500.0
Ornamental Horticulture,47400.0,79800.0,32400.0
Landscape Architecture,60600.0,92900.0,32300.0
Law Enforcement,55200.0,87400.0,32200.0
Health,51000.0,83200.0,32200.0
Human Resources (HR),55500.0,87700.0,32200.0
Electromechanical Engineering,82400.0,114500.0,32100.0
Apparel Merchandising,56700.0,88800.0,32100.0
Health Sciences,52300.0,84300.0,32000.0
Radio & Television,50100.0,82100.0,32000.0
Advertising & Graphic Design,55100.0,87100.0,32000.0
3D Animation,58400.0,90400.0,32000.0
New Media,53100.0,85000.0,31900.0
Accounting Information Systems,73000.0,104800.0,31800.0
Music,52700.0,84400.0,31700.0
Organizational Management,57200.0,88900.0,31700.0
Psychology & Social Behavior,53300.0,84900.0,31600.0
Global Studies,60400.0,92000.0,31600.0
Organizational Leadership,58300.0,89900.0,31600.0
Recreation Management,50300.0,81900.0,31600.0
Communication Management,54400.0,85900.0,31500.0
Art & Design,53200.0,84700.0,31500.0
Social Studies,56600.0,88000.0,31400.0
Aeronautics,72600.0,103900.0,31300.0
Secondary Education,52100.0,83400.0,31300.0
Interior Design,53200.0,84500.0,31300.0
Archaeology,52700.0,83900.0,31200.0
Applied Sociology,48900.0,80100.0,31200.0
Global Business,65400.0,96500.0,31100.0
Kinesiology,52600.0,83700.0,31100.0
Marketing & Advertising,57000.0,88100.0,31100.0
Commercial Photography,50400.0,81300.0,30900.0
Nuclear Engineering Technology (NET),96500.0,127400.0,30900.0
Human Nutrition,57700.0,88500.0,30800.0
Natural Resources,56000.0,86800.0,30800.0
Health Administration,49500.0,80300.0,30800.0
Natural Resource Management,54600.0,85300.0,30700.0
Theater,52800.0,83400.0,30600.0
Animal Science,48300.0,78800.0,30500.0
Agricultural Business,61300.0,91700.0,30400.0
Fine Arts,50400.0,80800.0,30400.0
Earth Science,58700.0,88800.0,30100.0
Anthropology,55200.0,85200.0,30000.0
Criminal Justice,50000.0,80000.0,30000.0
Cultural Anthropology,56400.0,86300.0,29900.0
Ecology,54700.0,84500.0,29800.0
Health Care Administration,53400.0,83200.0,29800.0
Manufacturing Engineering Technology,76800.0,106500.0,29700.0
SocialStudies,54200.0,83900.0,29700.0
Sociology,54700.0,84300.0,29600.0
Business Management & Administration,60700.0,90300.0,29600.0
Logistics Management,67900.0,97500.0,29600.0
Forensic Psychology,49700.0,79100.0,29400.0
Applied Computer Science,76500.0,105900.0,29400.0
German Language & Literature,59400.0,88600.0,29200.0
Human Resources Development,57000.0,86100.0,29100.0
Hospitality Management,55400.0,84500.0,29100.0
Interdisciplinary Studies (IS),52200.0,81200.0,29000.0
Retail Management,62300.0,91300.0,29000.0
Painting,48500.0,77500.0,29000.0
Geomatics,59400.0,88400.0,29000.0
Hotel & Restaurant Management,56400.0,85300.0,28900.0
Management & Leadership,60900.0,89800.0,28900.0
Romance Languages,59100.0,87900.0,28800.0
Religion,51900.0,80600.0,28700.0
Health & Physical Education Teaching,46600.0,75300.0,28700.0
Technical Theatre,48000.0,76600.0,28600.0
Administrative Management,60900.0,89500.0,28600.0
Tourism & Travel,46700.0,75100.0,28400.0
Video Production,48900.0,77300.0,28400.0
Multimedia & Web Design,57600.0,85700.0,28100.0
Speech-Language Pathology,51400.0,79400.0,28000.0
Graphic Design,52900.0,80800.0,27900.0
Liberal Studies,52800.0,80700.0,27900.0
Technical & Scientific Communication,59200.0,87100.0,27900.0
Adult Education & Training,58000.0,85800.0,27800.0
Radiation Therapy,78100.0,105800.0,27700.0
Finance & Marketing,69100.0,96700.0,27600.0
Mortuary Science,49100.0,76600.0,27500.0
Media Communication,55000.0,82500.0,27500.0
Biological Anthropology,54900.0,82400.0,27500.0
Communications Technology,54100.0,81500.0,27400.0
Communication Design,60600.0,87900.0,27300.0
Health & Wellness,46800.0,74100.0,27300.0
Product Design Engineering,75700.0,102900.0,27200.0
Technical Writing,62400.0,89600.0,27200.0
Culinary Arts,47800.0,74900.0,27100.0
Media Production,50800.0,77600.0,26800.0
Psychology & Sociology,50700.0,77400.0,26700.0
Sustainability,56100.0,82700.0,26600.0
Emergency Management,58900.0,85500.0,26600.0
Health Information Management,57200.0,83700.0,26500.0
Women's Studies,52500.0,78900.0,26400.0
Education,52200.0,78500.0,26300.0
Robotics,91100.0,117400.0,26300.0
Vocal Performance,49900.0,76100.0,26200.0
Exercise & Sports Science,49500.0,75700.0,26200.0
Automotive Technology & Service Management,63200.0,89400.0,26200.0
Music Composition,51200.0,77300.0,26100.0
Legal Studies,55000.0,81100.0,26100.0
Fashion Design & Marketing,55300.0,81200.0,25900.0
Welding Engineering Technology,83700.0,109600.0,25900.0
Modern Language Spanish,52400.0,78200.0,25800.0
Cardiopulmonary Science,58200.0,84000.0,25800.0
Health Services Administration,50100.0,75900.0,25800.0
Performing Arts,52900.0,78600.0,25700.0
Web Design,55500.0,81200.0,25700.0
Paralegal Studies,47300.0,72900.0,25600.0
Public Health (PH),54000.0,79600.0,25600.0
Business Technology,64400.0,90000.0,25600.0
Health & Exercise Science,48300.0,73900.0,25600.0
Voice & Opera,39600.0,65100.0,25500.0
Culture Studies,53500.0,79000.0,25500.0
Health Studies,50900.0,76400.0,25500.0
Recreation & Leisure Studies,48400.0,73800.0,25400.0
Physical Education Teaching,49700.0,74900.0,25200.0
Family & Consumer Science,51300.0,76500.0,25200.0
Behavioral Science,50800.0,75900.0,25100.0
Art,51000.0,76000.0,25000.0
Hospitality & Tourism,53200.0,78200.0,25000.0
Merchandising,61000.0,86000.0,25000.0
Restaurant & Food Service Management,50600.0,75500.0,24900.0
Graphic Arts,49800.0,74600.0,24800.0
Radiology,63800.0,88600.0,24800.0
Supervision & Management,49500.0,74300.0,24800.0
Clinical Psychology,49300.0,74000.0,24700.0
Theology,51800.0,76500.0,24700.0
Speech Pathology & Audiology,53100.0,77700.0,24600.0
General Studies,51300.0,75800.0,24500.0
Photography,51300.0,75800.0,24500.0
Foods & Nutrition,54500.0,78900.0,24400.0
Event Management,49800.0,74100.0,24300.0
Hotel Administration,79700.0,104000.0,24300.0
Wildlife Management,45800.0,70000.0,24200.0
Health Services Management,48900.0,73100.0,24200.0
Photojournalism,48200.0,72400.0,24200.0
Church Ministries,43300.0,67400.0,24100.0
Radiologic Science,66000.0,90000.0,24000.0
