Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Mean
245,Industrial Technology (IT),Bachelors,74100.0,110300.0,48.0
247,Accounts,Bachelors,69100.0,110200.0,44.0
247,Risk Management,Bachelors,65700.0,110200.0,53.0
250,Industrial Engineering Technology,Bachelors,77600.0,110100.0,50.0
250,Genetics,Bachelors,63200.0,110100.0,73.0
252,Government & Politics,Bachelors,62100.0,110000.0,51.0
252,Microbiology & Immunology,Bachelors,65400.0,110000.0,75.0
254,Digital Design,Bachelors,57800.0,109700.0,40.0
254,Hotel Management,Bachelors,58000.0,109700.0,47.0
254,Italian Language,Bachelors,58400.0,109700.0,41.0
254,Safety Management,Bachelors,69300.0,109700.0,67.0
258,Environmental Health & Safety,Bachelors,66500.0,109600.0,66.0
258,Marketing Communication,Bachelors,54700.0,109600.0,42.0
258,Political Science,Bachelors,59800.0,109600.0,47.0
258,Welding Engineering Technology,Bachelors,83700.0,109600.0,44.0
262,Industrial Psychology,Bachelors,58100.0,109500.0,50.0
263,Pharmaceutical Sciences (PS),Bachelors,62000.0,109200.0,67.0
263,Marketing & Communications,Bachelors,58400.0,109200.0,46.0
265,Network Security,Bachelors,69900.0,109100.0,52.0
266,Industrial Design (ID),Bachelors,64600.0,109000.0,40.0
266,Sales & Marketing,Bachelors,62800.0,109000.0,48.0
268,Environmental Science & Policy,Bachelors,58800.0,108800.0,57.0
268,Organizational Behavior,Bachelors,65200.0,108800.0,57.0
270,Business Data Analysis,Bachelors,74800.0,108700.0,38.0
271,Physics & Astronomy,Bachelors,67800.0,108600.0,32.0
272,Philosophy,Bachelors,62700.0,108400.0,42.0
273,Accounting,Bachelors,64200.0,108300.0,42.0
273,German Language,Bachelors,60600.0,108300.0,43.0
273,Comparative Literature,Bachelors,54500.0,108300.0,49.0
276,Architecture,Bachelors,60000.0,108100.0,52.0
277,Advertising Design,Bachelors,63200.0,108000.0,32.0
278,Financial Accounting,Bachelors,65600.0,107500.0,49.0
280,Risk Management & Insurance,Bachelors,69700.0,107400.0,46.0
281,Urban Planning,Bachelors,57600.0,107300.0,56.0
282,Accounting & Management,Bachelors,63900.0,107000.0,55.0
282,Cell & Molecular Biology,Bachelors,59800.0,107000.0,66.0
282,Manufacturing Management,Bachelors,73200.0,107000.0,41.0
285,Computer & Network Administration,Bachelors,65700.0,106800.0,46.0
286,Occupational Therapy (OT),Bachelors,63500.0,106700.0,86.0
287,Manufacturing Engineering Technology,Bachelors,76800.0,106500.0,50.0
288,Advertising,Bachelors,55100.0,106400.0,33.0
288,Project Management,Bachelors,66500.0,106400.0,56.0
290,Organizational Psychology,Bachelors,58100.0,106300.0,52.0
291,Insurance,Bachelors,66100.0,106200.0,51.0
292,Labor Studies,Bachelors,55300.0,106000.0,50.0
293,Applied Computer Science,Bachelors,76500.0,105900.0,41.0
293,Geology,Bachelors,57800.0,105900.0,55.0
293,Marketing Management,Bachelors,60900.0,105900.0,41.0
296,Design,Bachelors,62400.0,105800.0,39.0
296,Radiation Therapy,Bachelors,78100.0,105800.0,91.0
296,Strategic Communication,Bachelors,54900.0,105800.0,43.0
296,Transportation & Logistics Management,Bachelors,67700.0,105800.0,48.0
300,Electronic Systems Technology (EST),Bachelors,89500.0,105600.0,44.0
300,Latin American Studies,Bachelors,54900.0,105600.0,60.0
302,Agronomy,Bachelors,56400.0,105300.0,67.0
302,Environmental Health,Bachelors,58500.0,105300.0,68.0
304,Applied Technology,Bachelors,67500.0,105200.0,49.0
305,Accounting Information Systems,Bachelors,73000.0,104800.0,54.0
305,Crop Science,Bachelors,56400.0,104800.0,56.0
305,Microbiology,Bachelors,56800.0,104800.0,69.0
309,Entrepreneurship,Bachelors,63600.0,104300.0,47.0
309,Corporate Communications,Bachelors,57300.0,104300.0,46.0
311,Environmental Design,Bachelors,55600.0,104200.0,54.0
312,Advertising & Marketing Communications,Bachelors,56800.0,104100.0,39.0
313,Digital Media Design,Bachelors,53800.0,104000.0,27.0
313,Hotel Administration,Bachelors,79700.0,104000.0,35.0
313,Math & Science,Bachelors,65900.0,104000.0,66.0
316,Aeronautics,Bachelors,72600.0,103900.0,62.0
317,International Studies,Bachelors,58100.0,103800.0,50.0
317,Urban & Regional Planning,Bachelors,61700.0,103800.0,60.0
319,Computer Graphics Technology (CGT),Bachelors,59400.0,103700.0,45.0
320,Food Science,Bachelors,62500.0,103400.0,49.0
321,Global Business Management,Bachelors,65700.0,103100.0,52.0
323,Product Design Engineering,Bachelors,75700.0,102900.0,41.0
324,Construction Engineering Technology,Bachelors,65700.0,102700.0,60.0
326,Sociology & Organizational Studies,Bachelors,63800.0,102500.0,53.0
327,Management & Organization,Bachelors,79500.0,102400.0,53.0
328,Logistics,Bachelors,67900.0,102300.0,41.0
329,Information Systems Security,Bachelors,66200.0,102100.0,51.0
329,International Affairs,Bachelors,60300.0,102100.0,51.0
331,Biological Sciences,Bachelors,58600.0,101900.0,67.0
331,Personal Financial Planning,Bachelors,62700.0,101900.0,59.0
333,Environmental Science,Bachelors,57800.0,101600.0,61.0
334,Theatre & Drama Studies,Bachelors,54800.0,101400.0,50.0
335,Cinema Studies,Bachelors,54800.0,101200.0,37.0
335,Land Surveying,Bachelors,59400.0,101200.0,57.0
337,Business Communication,Bachelors,60000.0,100800.0,47.0
338,German Studies,Bachelors,58600.0,100600.0,45.0
338,New Media Design,Bachelors,64900.0,100600.0,28.0
340,International Trade & Business,Bachelors,62800.0,100300.0,23.0
340,Textile & Apparel Studies,Bachelors,55000.0,100300.0,24.0
343,Advertising & Promotion,Bachelors,55100.0,100200.0,47.0
343,City & Regional Planning,Bachelors,61600.0,100200.0,69.0
345,Advertising & Marketing,Bachelors,57000.0,99800.0,39.0
346,Aviation Maintenance Technology,Bachelors,59000.0,99700.0,62.0
346,English Literature,Bachelors,55600.0,99700.0,46.0
346,Urban Studies,Bachelors,59500.0,99700.0,60.0
346,Agricultural Science,Bachelors,55100.0,99700.0,51.0
350,Management,Bachelors,59800.0,99600.0,49.0
351,History & Politics,Bachelors,56500.0,99400.0,59.0
351,Human Biology,Bachelors,59500.0,99400.0,72.0
353,Automotive Technology,Bachelors,57300.0,99300.0,52.0
353,Fashion Design,Bachelors,55500.0,99300.0,28.0
353,Magazine Journalism,Bachelors,56400.0,99300.0,38.0
356,Textile Technology,Bachelors,62300.0,99200.0,39.0
356,American History (United States),Bachelors,60700.0,99200.0,51.0
356,Architectural Technology,Bachelors,57400.0,99200.0,60.0
359,Organizational Development,Bachelors,62300.0,99100.0,57.0
360,Business Administration,Bachelors,62100.0,99000.0,51.0
360,Interior Architecture,Bachelors,55300.0,99000.0,49.0
360,Journalism & Mass Communication,Bachelors,54500.0,99000.0,45.0
363,Business Administration & Accounting,Bachelors,61600.0,98900.0,54.0
364,Environmental & Natural Resource Economics,Bachelors,60600.0,98800.0,66.0
365,Neuroscience,Bachelors,60900.0,98700.0,60.0
366,Business Management,Bachelors,60800.0,98600.0,52.0
367,Computer Aided Drafting & Design (CADD),Bachelors,58000.0,98400.0,51.0
367,Drama,Bachelors,57300.0,98400.0,43.0
369,Bachelor in Science Nursing,Bachelors,78500.0,98300.0,87.0
370,Linguistics,Bachelors,60800.0,98200.0,43.0
371,Communication,Bachelors,56900.0,98100.0,46.0
371,Nursing Science,Bachelors,77900.0,98100.0,84.0
371,Writing,Bachelors,51400.0,98100.0,45.0
374,French Language,Bachelors,57800.0,98000.0,48.0
375,Integrated Marketing Communications,Bachelors,55100.0,97900.0,37.0
376,Architectural Design,Bachelors,52000.0,97600.0,57.0
377,Logistics Management,Bachelors,67900.0,97500.0,38.0
377,Natural Sciences,Bachelors,51600.0,97500.0,57.0
377,Public Affairs,Bachelors,61100.0,97500.0,51.0
380,Journalism,Bachelors,54200.0,97400.0,44.0
380,Technical Management,Bachelors,74800.0,97400.0,68.0
380,General Science,Bachelors,58300.0,97400.0,59.0
383,French Studies,Bachelors,60700.0,97300.0,59.0
383,Marketing & Mass Communications,Bachelors,56500.0,97300.0,40.0
383,Biology & Chemistry,Bachelors,57300.0,97300.0,66.0
386,Digital Media,Bachelors,53200.0,97200.0,38.0
387,Professional & Technical Writing,Bachelors,57300.0,96900.0,47.0
387,Public Relations & Communication,Bachelors,53200.0,96900.0,49.0
389,Textile Design,Bachelors,58400.0,96800.0,36.0
390,Finance & Marketing,Bachelors,69100.0,96700.0,42.0
390,Law,Bachelors,61600.0,96700.0,52.0
392,Nursing,Bachelors,75300.0,96600.0,82.0
392,Organizational Communication,Bachelors,54100.0,96600.0,49.0
394,Architectural Studies,Bachelors,52500.0,96500.0,38.0
394,Global Business,Bachelors,65400.0,96500.0,31.0
394,Literature,Bachelors,54800.0,96500.0,45.0
394,Agriculture,Bachelors,55100.0,96500.0,61.0
399,Physiology,Bachelors,57100.0,96300.0,66.0
400,Music Technology,Bachelors,53000.0,96200.0,39.0
400,Pre-Medicine,Bachelors,59100.0,96200.0,69.0
400,Web & Digital Media Development,Bachelors,62700.0,96200.0,37.0
403,General Business,Bachelors,58000.0,96100.0,51.0
403,Public Relations (PR),Bachelors,53500.0,96100.0,43.0
403,History & Political Science,Bachelors,58900.0,96100.0,48.0
406,Administration of Justice,Bachelors,52800.0,96000.0,53.0
406,Biology,Bachelors,55300.0,96000.0,66.0
406,Web Design & Development,Bachelors,63000.0,96000.0,45.0
409,Personnel Management,Bachelors,59600.0,95900.0,67.0
410,Computer Animation,Bachelors,54800.0,95800.0,42.0
410,Quality Management,Bachelors,73300.0,95800.0,64.0
410,Retail & Consumer Science,Bachelors,61600.0,95800.0,26.0
413,Environmental Management,Bachelors,59100.0,95700.0,63.0
414,History,Bachelors,56200.0,95600.0,47.0
415,Environmental Biology,Bachelors,52100.0,95500.0,68.0
415,Media Studies,Bachelors,58800.0,95500.0,39.0
417,Apparel & Textile Manufacture,Bachelors,55800.0,95400.0,33.0
417,Philosophy & Religion,Bachelors,51200.0,95400.0,59.0
419,Publishing,Bachelors,54000.0,95300.0,40.0
420,Environmental Geography,Bachelors,58300.0,95200.0,52.0
421,Communication Studies & Journalism,Bachelors,52700.0,95100.0,45.0
422,Environmental Studies,Bachelors,57000.0,95000.0,59.0
424,Architectural Engineering Technology,Bachelors,55400.0,94900.0,50.0
425,Agribusiness Management,Bachelors,60400.0,94700.0,40.0
426,Interpersonal Communications,Bachelors,51500.0,94600.0,51.0
426,Retail Merchandising,Bachelors,60900.0,94600.0,34.0
428,Diagnostic Medical Sonography,Bachelors,74100.0,94400.0,85.0
428,Fashion,Bachelors,56700.0,94400.0,39.0
428,Network Administration,Bachelors,56000.0,94400.0,55.0
428,General & Strategic Management,Bachelors,57300.0,94400.0,52.0
432,Accounting & Business,Bachelors,61000.0,94300.0,49.0
433,Dental Hygiene,Bachelors,83400.0,94000.0,80.0
433,Electronic & Computer Technology,Bachelors,76400.0,94000.0,65.0
435,Journalism & Electronic Media,Bachelors,53100.0,93900.0,45.0
